replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NC_016603.1	NC_016603.1_178	RM__Type_I_MTases	178	defense-finder-models/RM/RM/RM_Type_I	NC_016603.1_RM_Type_I_6	1	1	1.0	2.5	1	RM__Type_I_MTases	mandatory	524	3.8e-174	578.0	0.996	0.983	1	515			RM	RM_Type_I	Defense
NC_016603.1	NC_016603.1_179	RM__Type_I_S	179	defense-finder-models/RM/RM/RM_Type_I	NC_016603.1_RM_Type_I_6	1	1	1.0	2.5	1	RM__Type_I_S	accessory	420	8.499999999999999e-69	229.8	0.534	0.898	42	418			RM	RM_Type_I	Defense
NC_016603.1	NC_016603.1_182	RM__Type_I_REases	182	defense-finder-models/RM/RM/RM_Type_I	NC_016603.1_RM_Type_I_6	1	1	1.0	2.5	1	RM__Type_I_REases	mandatory	969	1.7999999999999998e-191	636.6	0.948	0.941	1	912			RM	RM_Type_I	Defense
NC_016603.1	NC_016603.1_513	PD-Lambda-5__PD-Lambda-5_B	513	defense-finder-models/RM/PD-Lambda-5/PD-Lambda-5	NC_016603.1_PD-Lambda-5_5	1	1	1.0	2.0	1	PD-Lambda-5__PD-Lambda-5_B	mandatory	287	6.8e-119	394.0	0.972	0.976	2	281			PD-Lambda-5	PD-Lambda-5	Defense
NC_016603.1	NC_016603.1_514	PD-Lambda-5__PD-Lambda-5_A	514	defense-finder-models/RM/PD-Lambda-5/PD-Lambda-5	NC_016603.1_PD-Lambda-5_5	1	1	1.0	2.0	1	PD-Lambda-5__PD-Lambda-5_A	mandatory	477	1.3000000000000001e-33	114.1	0.505	0.495	4	239			PD-Lambda-5	PD-Lambda-5	Defense
NC_016603.1	NC_016603.1_599	NLR_like_bNACHT01__NLR_like_bNACHT01	599	defense-finder-models/DefenseFinder_2/NLR/NLR_like_bNACHT01	NC_016603.1_NLR_like_bNACHT01_2	1	1	1.0	1.0	1	NLR_like_bNACHT01__NLR_like_bNACHT01	mandatory	637	6.499999999999999e-105	349.7	0.957	0.918	5	589			NLR	NLR_like_bNACHT01	Defense
NC_016603.1	NC_016603.1_2186	Septu__PtuA	2186	defense-finder-models/DefenseFinder_2/Septu/Septu	NC_016603.1_Septu_3	1	1	1.0	2.0	1	Septu__PtuA	mandatory	480	3.9e-47	159.7	0.929	0.956	5	463			Septu	Septu	Defense
NC_016603.1	NC_016603.1_2187	Septu__PtuB	2187	defense-finder-models/DefenseFinder_2/Septu/Septu	NC_016603.1_Septu_3	1	1	1.0	2.0	1	Septu__PtuB	mandatory	224	2.2e-19	68.3	0.897	0.942	1	211			Septu	Septu	Defense
NC_016603.1	NC_016603.1_2605	AbiH__AbiH	2605	defense-finder-models/DefenseFinder_1/AbiH/AbiH	NC_016603.1_AbiH_1	1	1	1.0	1.0	1	AbiH__AbiH	mandatory	475	5e-25	86.6	0.951	0.853	3	407			AbiH	AbiH	Defense
NC_016603.1	NC_016603.1_2987	Paris_II_merge__AAA_21_DUF4435	2987	defense-finder-models/DefenseFinder_3/Paris/PARIS_II_merge	NC_016603.1_PARIS_II_merge_4	1	1	1.0	1.0	1	Paris_II_merge__AAA_21_DUF4435	mandatory	546	2.3e-199	661.3	0.947	0.962	16	540			Paris	PARIS_II_merge	Defense
