Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
aph(6)-Id	100	837/837	100	1..837	NZ_AP024524.1 Acinetobacter variabilis strain RYU24 chromosome, complete genome	2453139..2453975	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aac(3)-IIa	100	861/861	100	1..861	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	2462126..2462986	Aminoglycoside resistance	X51534
aph(6)-Id	100	837/837	100	1..837	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	2551713..2552549	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aac(6')-Ian	100	573/573	100	1..573	NZ_CP009257.1 Acinetobacter baumannii strain AB30 chromosome, complete genome	2466747..2467319	Warning: gene is missing from Notes file. Please inform curator.	AP014611
aph(6)-Id	100	837/837	100	1..837	NZ_CP014528.1 Acinetobacter baumannii strain XH858 chromosome, complete genome	3108663..3109499	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aac(3)-IIa	100	861/861	100	1..861	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	305254..306114	Aminoglycoside resistance	X51534
aph(6)-Id	100	837/837	100	1..837	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	292255..293091	Aminoglycoside resistance Alternate name; aph(6)-Id	M28829
aac(6')-Ian	100	573/573	100	1..573	NZ_CP018254.1 Acinetobacter baumannii strain AF-401 chromosome, complete genome	309879..310451	Warning: gene is missing from Notes file. Please inform curator.	AP014611
aac(6')-Ig	97.26	438/438	100	1..438	NZ_CP018260.1 Acinetobacter haemolyticus strain XH900 chromosome, complete genome	1064988..1065425	Aminoglycoside resistance	L09246
aadA2b	99.87	780/780	100	1..780	NZ_CP019041.1 Acinetobacter junii strain 65 chromosome, complete genome	2307246..2308025	Aminoglycoside resistance	D43625
aph(3')-VIa	100	780/780	100	1..780	NZ_CP022283.1 Acinetobacter baumannii strain 7804 chromosome, complete genome	1419017..1419796	Aminoglycoside resistance	X07753
aadA5	99.62	789/789	100	1..789	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	2841303..2842091	Aminoglycoside resistance	AF137361
aph(3')-VIa	98.08	780/780	100	1..780	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	2206567..2207346	Aminoglycoside resistance	X07753
aph(3')-VIa	98.08	780/780	100	1..780	NZ_CP023020.1 Acinetobacter baumannii strain 9201 chromosome, complete genome	3511814..3512593	Aminoglycoside resistance	X07753
