Genome_ID	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP049801.1.fasta	NZ_CP049801.1_GAPS6_4	GAPS6	GAPS6	Defense	NZ_CP049801.1_235	NZ_CP049801.1_236	NZ_CP049801.1_235,NZ_CP049801.1_236	2	GAPS6__GAPS6a,GAPS6__GAPS6b
NZ_CP049801.1.fasta	NZ_CP049801.1_RloC_3	RloC	RloC	Defense	NZ_CP049801.1_249	NZ_CP049801.1_249	NZ_CP049801.1_249	1	RloC__RloC
NZ_CP049801.1.fasta	NZ_CP049801.1_AbiU_2	AbiU	AbiU	Defense	NZ_CP049801.1_677	NZ_CP049801.1_677	NZ_CP049801.1_677	1	AbiU__AbiU
NZ_CP049801.1.fasta	NZ_CP049801.1_RM_Type_IV_7	RM	RM_Type_IV	Defense	NZ_CP049801.1_843	NZ_CP049801.1_844	NZ_CP049801.1_843,NZ_CP049801.1_844	2	RM_Type_IV__Type_IV_REases,RM_Type_IV__Type_IV_REases
NZ_CP049801.1.fasta	NZ_CP049801.1_CAS_Class1-Subtype-I-F_8	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP049801.1_2068	NZ_CP049801.1_2073	NZ_CP049801.1_2068,NZ_CP049801.1_2069,NZ_CP049801.1_2070,NZ_CP049801.1_2071,NZ_CP049801.1_2072,NZ_CP049801.1_2073	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
NZ_CP049801.1.fasta	NZ_CP049801.1_PD-T7-4_5	PD-T7-4	PD-T7-4	Defense	NZ_CP049801.1_2394	NZ_CP049801.1_2394	NZ_CP049801.1_2394	1	PD-T7-4__PD-T7-4
NZ_CP049801.1.fasta	NZ_CP049801.1_AbiH_1	AbiH	AbiH	Defense	NZ_CP049801.1_2801	NZ_CP049801.1_2801	NZ_CP049801.1_2801	1	AbiH__AbiH
NZ_CP049801.1.fasta	NZ_CP049801.1_RM_Type_IIG_6	RM	RM_Type_IIG	Defense	NZ_CP049801.1_3105	NZ_CP049801.1_3105	NZ_CP049801.1_3105	1	RM_Type_IIG__Type_IIG
NZ_CP030031.1.fasta	NZ_CP030031.1_Menshen_2	Menshen	Menshen	Defense	NZ_CP030031.1_1166	NZ_CP030031.1_1168	NZ_CP030031.1_1166,NZ_CP030031.1_1167,NZ_CP030031.1_1168	3	Menshen__NsnA,Menshen__NsnB,Menshen__NsnC_2726213746
NZ_CP030031.1.fasta	NZ_CP030031.1_CAS_Class1-Subtype-I-F_7	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP030031.1_1607	NZ_CP030031.1_1613	NZ_CP030031.1_1607,NZ_CP030031.1_1609,NZ_CP030031.1_1610,NZ_CP030031.1_1611,NZ_CP030031.1_1612,NZ_CP030031.1_1613	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_2,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_1,cas8f_I-F_6
NZ_CP030031.1.fasta	NZ_CP030031.1_Eleos_5	Eleos	Eleos	Defense	NZ_CP030031.1_2048	NZ_CP030031.1_2049	NZ_CP030031.1_2048,NZ_CP030031.1_2049	2	Eleos__LeoA,Eleos__LeoBC
NZ_CP030031.1.fasta	NZ_CP030031.1_BREX_I_4	BREX	BREX_I	Defense	NZ_CP030031.1_2053	NZ_CP030031.1_2061	NZ_CP030031.1_2053,NZ_CP030031.1_2054,NZ_CP030031.1_2058,NZ_CP030031.1_2059,NZ_CP030031.1_2060,NZ_CP030031.1_2061	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
NZ_CP030031.1.fasta	NZ_CP030031.1_PsyrTA_1	PsyrTA	PsyrTA	Defense	NZ_CP030031.1_2056	NZ_CP030031.1_2057	NZ_CP030031.1_2056,NZ_CP030031.1_2057	2	PsyrTA__PsyrA,PsyrTA__PsyrT
NZ_CP030031.1.fasta	NZ_CP030031.1_RM_Type_II_6	RM	RM_Type_II	Defense	NZ_CP030031.1_2706	NZ_CP030031.1_2708	NZ_CP030031.1_2706,NZ_CP030031.1_2708	2	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases
NZ_CP040105.1.fasta	NZ_CP040105.1_Rst_TIR-NLR_1	Rst_TIR-NLR	Rst_TIR-NLR	Defense	NZ_CP040105.1_628	NZ_CP040105.1_628	NZ_CP040105.1_628	1	Rst_TIR-NLR__TIR
NZ_CP040105.1.fasta	NZ_CP040105.1_RM_Type_I_3	RM	RM_Type_I	Defense	NZ_CP040105.1_1018	NZ_CP040105.1_1020	NZ_CP040105.1_1018,NZ_CP040105.1_1019,NZ_CP040105.1_1020	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP040105.1.fasta	NZ_CP040105.1_DRT_3_2	DRT	DRT_3	Defense	NZ_CP040105.1_2623	NZ_CP040105.1_2624	NZ_CP040105.1_2623,NZ_CP040105.1_2624	2	DRT_3__drt3a,DRT_3__drt3b
NZ_CP095872.1.fasta	NZ_CP095872.1_PD-T7-2_3	PD-T7-2	PD-T7-2	Defense	NZ_CP095872.1_142	NZ_CP095872.1_143	NZ_CP095872.1_142,NZ_CP095872.1_143	2	PD-T7-2__PD-T7-2_A,PD-T7-2__PD-T7-2_B
NZ_CP095872.1.fasta	NZ_CP095872.1_Old_exonuclease_2	Old_exonuclease	Old_exonuclease	Defense	NZ_CP095872.1_561	NZ_CP095872.1_561	NZ_CP095872.1_561	1	Old_exonuclease__Old_exonuclease
NZ_CP095872.1.fasta	NZ_CP095872.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP095872.1_849	NZ_CP095872.1_849	NZ_CP095872.1_849	1	AbiJ__AbiJ
NZ_CP095872.1.fasta	NZ_CP095872.1_RosmerTA_4	RosmerTA	RosmerTA	Defense	NZ_CP095872.1_2947	NZ_CP095872.1_2948	NZ_CP095872.1_2947,NZ_CP095872.1_2948	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP095872.1.fasta	NZ_CP095872.1_RM_Type_IIG_5	RM	RM_Type_IIG	Defense	NZ_CP095872.1_3160	NZ_CP095872.1_3160	NZ_CP095872.1_3160	1	RM_Type_IIG__Type_IIG
NZ_CP140420.1.fasta	NZ_CP140420.1_Septu_3	Septu	Septu	Defense	NZ_CP140420.1_689	NZ_CP140420.1_690	NZ_CP140420.1_689,NZ_CP140420.1_690	2	Septu__PtuA_2,Septu__PtuB_2
NZ_CP140420.1.fasta	NZ_CP140420.1_DRT_2_2	DRT	DRT_2	Defense	NZ_CP140420.1_691	NZ_CP140420.1_691	NZ_CP140420.1_691	1	DRT_2__drt2
NZ_CP140420.1.fasta	NZ_CP140420.1_PD-T7-2_5	PD-T7-2	PD-T7-2	Defense	NZ_CP140420.1_862	NZ_CP140420.1_863	NZ_CP140420.1_862,NZ_CP140420.1_863	2	PD-T7-2__PD-T7-2_A,PD-T7-2__PD-T7-2_B
NZ_CP140420.1.fasta	NZ_CP140420.1_RM_Type_I_8	RM	RM_Type_I	Defense	NZ_CP140420.1_1055	NZ_CP140420.1_1057	NZ_CP140420.1_1055,NZ_CP140420.1_1056,NZ_CP140420.1_1057	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP140420.1.fasta	NZ_CP140420.1_GAPS4_1	GAPS4	GAPS4	Defense	NZ_CP140420.1_1241	NZ_CP140420.1_1243	NZ_CP140420.1_1241,NZ_CP140420.1_1242,NZ_CP140420.1_1243	3	GAPS4__GAPS4a,GAPS4__GAPS4a,GAPS4__GAPS4b
NZ_CP140420.1.fasta	NZ_CP140420.1_RosmerTA_7	RosmerTA	RosmerTA	Defense	NZ_CP140420.1_1296	NZ_CP140420.1_1297	NZ_CP140420.1_1296,NZ_CP140420.1_1297	2	RosmerTA__RmrA_2662548665,RosmerTA__RmrT_2662548665
NZ_CP140420.1.fasta	NZ_CP140420.1_PD-T7-5_6	PD-T7-5	PD-T7-5	Defense	NZ_CP140420.1_2394	NZ_CP140420.1_2394	NZ_CP140420.1_2394	1	PD-T7-5__PD-T7-5
NZ_CP140420.1.fasta	NZ_CP140420.1_PARIS_I_4	Paris	PARIS_I	Defense	NZ_CP140420.1_3064	NZ_CP140420.1_3065	NZ_CP140420.1_3064,NZ_CP140420.1_3065	2	Paris_I__AriA_AAA15,Paris_I__AriB_DUF4435_I
NZ_CP072549.1.fasta	NZ_CP072549.1_RM_Type_I_6	RM	RM_Type_I	Defense	NZ_CP072549.1_349	NZ_CP072549.1_352	NZ_CP072549.1_349,NZ_CP072549.1_350,NZ_CP072549.1_352	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP072549.1.fasta	NZ_CP072549.1_AbiD_1	AbiD	AbiD	Defense	NZ_CP072549.1_351	NZ_CP072549.1_351	NZ_CP072549.1_351	1	AbiD__AbiD
NZ_CP072549.1.fasta	NZ_CP072549.1_RM_Type_IV_8	RM	RM_Type_IV	Defense	NZ_CP072549.1_353	NZ_CP072549.1_353	NZ_CP072549.1_353	1	RM_Type_IV__Type_IV_REases
NZ_CP072549.1.fasta	NZ_CP072549.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP072549.1_355	NZ_CP072549.1_356	NZ_CP072549.1_355,NZ_CP072549.1_356	2	Gabija__GajA,Gabija__GajB_2
NZ_CP072549.1.fasta	NZ_CP072549.1_CapRel_4	CapRel	CapRel	Defense	NZ_CP072549.1_1287	NZ_CP072549.1_1287	NZ_CP072549.1_1287	1	CapRel__CapRel
NZ_CP072549.1.fasta	NZ_CP072549.1_Kiwa_3	Kiwa	Kiwa	Defense	NZ_CP072549.1_1382	NZ_CP072549.1_1383	NZ_CP072549.1_1382,NZ_CP072549.1_1383	2	Kiwa__KwaA,Kiwa__KwaB_2
NZ_CP072549.1.fasta	NZ_CP072549.1_RM_Type_I_7	RM	RM_Type_I	Defense	NZ_CP072549.1_1384	NZ_CP072549.1_1386	NZ_CP072549.1_1384,NZ_CP072549.1_1385,NZ_CP072549.1_1386	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP072549.1.fasta	NZ_CP072549.1_PD-T7-2_5	PD-T7-2	PD-T7-2	Defense	NZ_CP072549.1_1884	NZ_CP072549.1_1885	NZ_CP072549.1_1884,NZ_CP072549.1_1885	2	PD-T7-2__PD-T7-2_A,PD-T7-2__PD-T7-2_B
NZ_CP059081.1.fasta	NZ_CP059081.1_RM_Type_I_3	RM	RM_Type_I	Defense	NZ_CP059081.1_505	NZ_CP059081.1_510	NZ_CP059081.1_505,NZ_CP059081.1_507,NZ_CP059081.1_510	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP059081.1.fasta	NZ_CP059081.1_AbiJ_1	AbiJ	AbiJ	Defense	NZ_CP059081.1_891	NZ_CP059081.1_891	NZ_CP059081.1_891	1	AbiJ__AbiJ
NZ_CP059081.1.fasta	NZ_CP059081.1_AbiP2_2	AbiP2	AbiP2	Defense	NZ_CP059081.1_1827	NZ_CP059081.1_1827	NZ_CP059081.1_1827	1	AbiP2__AbiP2
NZ_CP059081.1.fasta	NZ_CP059081.1_RM_Type_I_4	RM	RM_Type_I	Defense	NZ_CP059081.1_2107	NZ_CP059081.1_2112	NZ_CP059081.1_2107,NZ_CP059081.1_2111,NZ_CP059081.1_2112	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP017938.1.fasta	NZ_CP017938.1_DRT8_4	DRT	DRT8	Defense	NZ_CP017938.1_76	NZ_CP017938.1_76	NZ_CP017938.1_76	1	DRT8__DRT8
NZ_CP017938.1.fasta	NZ_CP017938.1_AbiH_1	AbiH	AbiH	Defense	NZ_CP017938.1_440	NZ_CP017938.1_440	NZ_CP017938.1_440	1	AbiH__AbiH
NZ_CP017938.1.fasta	NZ_CP017938.1_RosmerTA_5	RosmerTA	RosmerTA	Defense	NZ_CP017938.1_1362	NZ_CP017938.1_1363	NZ_CP017938.1_1362,NZ_CP017938.1_1363	2	RosmerTA__RmrA_2634932349,RosmerTA__RmrT_2634932349
NZ_CP017938.1.fasta	NZ_CP017938.1_RM_Type_III_6	RM	RM_Type_III	Defense	NZ_CP017938.1_1366	NZ_CP017938.1_1368	NZ_CP017938.1_1366,NZ_CP017938.1_1368	2	RM_Type_III__Type_III_MTases,RM_Type_III__Type_III_REases
NZ_CP017938.1.fasta	NZ_CP017938.1_RM_Type_IV_7	RM	RM_Type_IV	Defense	NZ_CP017938.1_2036	NZ_CP017938.1_2036	NZ_CP017938.1_2036	1	RM_Type_IV__Type_IV_REases
NZ_CP017938.1.fasta	NZ_CP017938.1_dGTPase_3	dGTPase	dGTPase	Defense	NZ_CP017938.1_2258	NZ_CP017938.1_2258	NZ_CP017938.1_2258	1	dGTPase__Sp_dGTPase
NZ_CP017938.1.fasta	NZ_CP017938.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP017938.1_2259	NZ_CP017938.1_2261	NZ_CP017938.1_2259,NZ_CP017938.1_2261	2	Gabija__GajA,Gabija__GajB_2
NZ_CP078018.1.fasta	NZ_CP078018.1_Old_exonuclease_5	Old_exonuclease	Old_exonuclease	Defense	NZ_CP078018.1_87	NZ_CP078018.1_87	NZ_CP078018.1_87	1	Old_exonuclease__Old_exonuclease
NZ_CP078018.1.fasta	NZ_CP078018.1_CBASS_I_12	CBASS	CBASS_I	Defense	NZ_CP078018.1_267	NZ_CP078018.1_268	NZ_CP078018.1_267,NZ_CP078018.1_268	2	CBASS__Cyclase_new,CBASS__Effector_2TM_S_2TMBeta
NZ_CP078018.1.fasta	NZ_CP078018.1_CBASS_II_14	CBASS	CBASS_II	Defense	NZ_CP078018.1_304	NZ_CP078018.1_307	NZ_CP078018.1_304,NZ_CP078018.1_305,NZ_CP078018.1_306,NZ_CP078018.1_307	4	CBASS__AG_E1_ThiF,CBASS__Cyclase_SMODS,CBASS__Jab,CBASS__Sensing_SAVED
NZ_CP078018.1.fasta	NZ_CP078018.1_DRT_2_4	DRT	DRT_2	Defense	NZ_CP078018.1_390	NZ_CP078018.1_390	NZ_CP078018.1_390	1	DRT_2__drt2
NZ_CP078018.1.fasta	NZ_CP078018.1_PD-T4-3_9	PD-T4-3	PD-T4-3	Defense	NZ_CP078018.1_751	NZ_CP078018.1_751	NZ_CP078018.1_751	1	PD-T4-3__PD-T4-3
NZ_CP078018.1.fasta	NZ_CP078018.1_Lamassu-Cap4_nuclease_1	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	NZ_CP078018.1_900	NZ_CP078018.1_901	NZ_CP078018.1_900,NZ_CP078018.1_901	2	Lamassu-Fam__LmuA_effector_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease
NZ_CP078018.1.fasta	NZ_CP078018.1_CAS_Class1-Subtype-I-F_18	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP078018.1_1007	NZ_CP078018.1_1013	NZ_CP078018.1_1007,NZ_CP078018.1_1009,NZ_CP078018.1_1010,NZ_CP078018.1_1011,NZ_CP078018.1_1012,NZ_CP078018.1_1013	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_8
NZ_CP078018.1.fasta	NZ_CP078018.1_RM_Type_IV_17	RM	RM_Type_IV	Defense	NZ_CP078018.1_1633	NZ_CP078018.1_1633	NZ_CP078018.1_1633	1	RM_Type_IV__Type_IV_REases
NZ_CP078018.1.fasta	NZ_CP078018.1_CapRel_8	CapRel	CapRel	Defense	NZ_CP078018.1_2275	NZ_CP078018.1_2275	NZ_CP078018.1_2275	1	CapRel__CapRel
NZ_CP078018.1.fasta	NZ_CP078018.1_Wadjet_I_7	Wadjet	Wadjet_I	Defense	NZ_CP078018.1_2324	NZ_CP078018.1_2327	NZ_CP078018.1_2324,NZ_CP078018.1_2325,NZ_CP078018.1_2326,NZ_CP078018.1_2327	4	Wadjet__JetA_I,Wadjet__JetB_I,Wadjet__JetC_I,Wadjet__JetD_I
NZ_CP078018.1.fasta	NZ_CP078018.1_RM_Type_IIG_16	RM	RM_Type_IIG	Defense	NZ_CP078018.1_2568	NZ_CP078018.1_2568	NZ_CP078018.1_2568	1	RM_Type_IIG__Type_IIG
NZ_CP078018.1.fasta	NZ_CP078018.1_RM_Type_I_15	RM	RM_Type_I	Defense	NZ_CP078018.1_2692	NZ_CP078018.1_2696	NZ_CP078018.1_2692,NZ_CP078018.1_2694,NZ_CP078018.1_2696	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP078018.1.fasta	NZ_CP078018.1_RloC_2	RloC	RloC	Defense	NZ_CP078018.1_2693	NZ_CP078018.1_2693	NZ_CP078018.1_2693	1	RloC__RloC
NZ_CP078018.1.fasta	NZ_CP078018.1_Shedu_3	Shedu	Shedu	Defense	NZ_CP078018.1_2741	NZ_CP078018.1_2741	NZ_CP078018.1_2741	1	Shedu__SduA
NZ_CP021428.1.fasta	NZ_CP021428.1_AbiL_1	AbiL	AbiL	Defense	NZ_CP021428.1_1043	NZ_CP021428.1_1044	NZ_CP021428.1_1043,NZ_CP021428.1_1044	2	AbiL__AbiLi2,AbiL__AbiLii2
NZ_CP021428.1.fasta	NZ_CP021428.1_RloC_4	RloC	RloC	Defense	NZ_CP021428.1_1288	NZ_CP021428.1_1288	NZ_CP021428.1_1288	1	RloC__RloC
NZ_CP021428.1.fasta	NZ_CP021428.1_RM_Type_II_6	RM	RM_Type_II	Defense	NZ_CP021428.1_1746	NZ_CP021428.1_1748	NZ_CP021428.1_1746,NZ_CP021428.1_1747,NZ_CP021428.1_1748	3	RM_Type_II__Type_II_MTases,RM_Type_II__Type_II_REases,RM_Type_II__Type_II_REases
NZ_CP021428.1.fasta	NZ_CP021428.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP021428.1_1804	NZ_CP021428.1_1805	NZ_CP021428.1_1804,NZ_CP021428.1_1805	2	Gabija__GajA,Gabija__GajB_1
NZ_CP021428.1.fasta	NZ_CP021428.1_Lamassu-Cap4_nuclease_3	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	NZ_CP021428.1_2488	NZ_CP021428.1_2489	NZ_CP021428.1_2488,NZ_CP021428.1_2489	2	Lamassu-Fam__LmuA_effector_Cap4_nuclease,Lamassu-Fam__LmuB_SMC_Cap4_nuclease
NZ_CP021428.1.fasta	NZ_CP021428.1_PD-T7-5_5	PD-T7-5	PD-T7-5	Defense	NZ_CP021428.1_3352	NZ_CP021428.1_3352	NZ_CP021428.1_3352	1	PD-T7-5__PD-T7-5
NZ_CP139266.1.fasta	NZ_CP139266.1_RM_Type_I_9	RM	RM_Type_I	Defense	NZ_CP139266.1_454	NZ_CP139266.1_457	NZ_CP139266.1_454,NZ_CP139266.1_455,NZ_CP139266.1_456,NZ_CP139266.1_457	4	PrrC__EcoprrI,RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP139266.1.fasta	NZ_CP139266.1_PD-T7-5_6	PD-T7-5	PD-T7-5	Defense	NZ_CP139266.1_486	NZ_CP139266.1_486	NZ_CP139266.1_486	1	PD-T7-5__PD-T7-5
NZ_CP139266.1.fasta	NZ_CP139266.1_PD-T4-5_5	PD-T4-5	PD-T4-5	Defense	NZ_CP139266.1_522	NZ_CP139266.1_522	NZ_CP139266.1_522	1	PD-T4-5__PD-T4-5
NZ_CP139266.1.fasta	NZ_CP139266.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP139266.1_875	NZ_CP139266.1_876	NZ_CP139266.1_875,NZ_CP139266.1_876	2	Gabija__GajA,Gabija__GajB_1
NZ_CP139266.1.fasta	NZ_CP139266.1_RM_Type_I_10	RM	RM_Type_I	Defense	NZ_CP139266.1_896	NZ_CP139266.1_901	NZ_CP139266.1_896,NZ_CP139266.1_899,NZ_CP139266.1_901	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP139266.1.fasta	NZ_CP139266.1_Kiwa_3	Kiwa	Kiwa	Defense	NZ_CP139266.1_897	NZ_CP139266.1_898	NZ_CP139266.1_897,NZ_CP139266.1_898	2	Kiwa__KwaA,Kiwa__KwaB
NZ_CP139266.1.fasta	NZ_CP139266.1_RosmerTA_7	RosmerTA	RosmerTA	Defense	NZ_CP139266.1_1152	NZ_CP139266.1_1153	NZ_CP139266.1_1152,NZ_CP139266.1_1153	2	RosmerTA__RmrA_2641389401,RosmerTA__RmrT_2641389401
NZ_CP139266.1.fasta	NZ_CP139266.1_NLR_like_bNACHT01_4	NLR	NLR_like_bNACHT01	Defense	NZ_CP139266.1_1639	NZ_CP139266.1_1639	NZ_CP139266.1_1639	1	NLR_like_bNACHT01__NLR_like_bNACHT01
NZ_CP139266.1.fasta	NZ_CP139266.1_AbiH_1	AbiH	AbiH	Defense	NZ_CP139266.1_1829	NZ_CP139266.1_1829	NZ_CP139266.1_1829	1	AbiH__AbiH
NZ_CP139266.1.fasta	NZ_CP139266.1_Retron_I_A_8	Retron	Retron_I_A	Defense	NZ_CP139266.1_3229	NZ_CP139266.1_3231	NZ_CP139266.1_3229,NZ_CP139266.1_3230,NZ_CP139266.1_3231	3	Retron_I_A__ATPase_TypeIA,Retron_I_A__HNH_TIGR02646,Retron__RT_Tot
NZ_CP018254.1.fasta	NZ_CP018254.1_Gabija_2	Gabija	Gabija	Defense	NZ_CP018254.1_81	NZ_CP018254.1_82	NZ_CP018254.1_81,NZ_CP018254.1_82	2	Gabija__GajA,Gabija__GajB_2
NZ_CP018254.1.fasta	NZ_CP018254.1_RM_Type_I_6	RM	RM_Type_I	Defense	NZ_CP018254.1_83	NZ_CP018254.1_85	NZ_CP018254.1_83,NZ_CP018254.1_84,NZ_CP018254.1_85	3	RM__Type_I_MTases,RM__Type_I_REases,RM__Type_I_S
NZ_CP018254.1.fasta	NZ_CP018254.1_Retron_I_A_5	Retron	Retron_I_A	Defense	NZ_CP018254.1_162	NZ_CP018254.1_164	NZ_CP018254.1_162,NZ_CP018254.1_163,NZ_CP018254.1_164	3	Retron_I_A__ATPase_TypeIA,Retron__RT_Tot,Septu__PtuB
