Genome_ID	IME_Type	Protein_ID	Percent_Identity	E_value
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	100.00	6.75e-17
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	100.00	6.75e-17
NZ_CP078018.1	ICEberg|172_IME	ICEberg|172_IME	91.67	1.34e-16
NZ_CP068253.1	ICEberg|172_IME	ICEberg|172_IME	91.67	1.34e-16
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP090607.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	95.54	0.00e+00
NZ_CP019041.1	ICEberg|172_IME	ICEberg|172_IME	100.00	4.95e-173
NZ_CP091367.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	5.81e-149
NZ_CP091172.1	ICEberg|172_IME	ICEberg|172_IME	86.31	5.81e-149
NZ_CP041035.1	ICEberg|172_IME	ICEberg|172_IME	86.31	1.23e-150
