hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NC_016603.1_71	NC_016603.1	71	1150	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	2.1e-09	34.7	0.527	0.292	780	1115
NC_016603.1_71	NC_016603.1	71	1150	Paris_I__AAA_15	4.9e-15	53.7	0.823	0.361	1	415
NC_016603.1_71	NC_016603.1	71	1150	Retron_I_B__ATPase_TOPRIM_COG3593	3.5e-15	53.9	0.41	0.218	1	251
NC_016603.1_149	NC_016603.1	149	218	Zorya__ZorB	2.3e-10	37.9	0.562	0.624	78	213
NC_016603.1_151	NC_016603.1	151	680	Gabija__GajB_1	1.3e-38	130.7	0.939	0.91	7	625
NC_016603.1_151	NC_016603.1	151	680	Gabija__GajB_2	4.5e-107	356.6	0.774	0.943	3	643
NC_016603.1_165	NC_016603.1	165	1199	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	3e-19	66.3	0.48	0.405	1	486
NC_016603.1_165	NC_016603.1	165	1199	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.4000000000000003e-20	70.3	0.782	0.424	1	508
NC_016603.1_178	NC_016603.1	178	524	RM_Type_II__Type_II_MTases	2.6e-41	139.7	0.691	0.477	170	419
NC_016603.1_178	NC_016603.1	178	524	PrrC__EcoprrI	1.8000000000000001e-121	404.5	0.958	0.981	1	514
NC_016603.1_178	NC_016603.1	178	524	RM__Type_I_MTases	3.7999999999999998e-174	578.0	0.996	0.983	1	515
NC_016603.1_179	NC_016603.1	179	420	PrrC__EcoprrI	6.5e-06	23.7	0.454	0.645	125	395
NC_016603.1_179	NC_016603.1	179	420	RM__Type_I_S	8.5e-69	229.8	0.534	0.898	42	418
NC_016603.1_182	NC_016603.1	182	969	RM__Type_I_REases	1.8e-191	636.6	0.948	0.941	1	912
NC_016603.1_313	NC_016603.1	313	810	Dodola__DolB	7.6e-12	42.7	0.917	0.43	224	571
NC_016603.1_336	NC_016603.1	336	460	DEDDh_I_II_III_IV_V_VI_1	3.1e-33	112.9	0.994	0.348	234	393
NC_016603.1_344	NC_016603.1	344	221	DEDDh_I_II_III_IV_V_VI_1	1.7e-23	81.2	0.994	0.805	24	201
NC_016603.1_437	NC_016603.1	437	860	Dodola__DolB	1.3e-22	78.1	0.531	0.251	507	722
NC_016603.1_444	NC_016603.1	444	476	Zorya__ZorB	6e-05	20.2	0.472	0.227	366	473
NC_016603.1_513	NC_016603.1	513	287	RM_Type_II__Type_II_MTases	1.0999999999999998e-22	78.3	0.689	0.895	3	259
NC_016603.1_513	NC_016603.1	513	287	PD-Lambda-5__PD-Lambda-5_B	6.799999999999999e-119	394.0	0.972	0.976	2	281
NC_016603.1_514	NC_016603.1	514	477	PD-Lambda-5__PD-Lambda-5_A	1.3e-33	114.1	0.505	0.495	4	239
NC_016603.1_599	NC_016603.1	599	637	NLR_like_bNACHT01__NLR_like_bNACHT01	6.5e-105	349.7	0.957	0.918	5	589
NC_016603.1_610	NC_016603.1	610	623	Paris_I__AAA_15	2.7e-09	34.8	0.976	0.502	18	330
NC_016603.1_610	NC_016603.1	610	623	Paris_II__AAA_21	7.3e-15	53.2	1.0	0.483	32	332
NC_016603.1_610	NC_016603.1	610	623	Retron_I_B__ATPase_TOPRIM_COG3593	2.5e-26	90.7	0.826	0.835	19	538
NC_016603.1_644	NC_016603.1	644	256	Zorya__ZorB	5.2e-09	33.5	0.475	0.426	145	253
NC_016603.1_646	NC_016603.1	646	893	Dodola__DolB	1.1e-27	94.8	0.659	0.295	480	742
NC_016603.1_781	NC_016603.1	781	654	Dnd__DndA	1.5e-42	143.6	0.865	0.521	270	610
NC_016603.1_946	NC_016603.1	946	258	Gao_Qat__QatD	9.3e-15	52.3	0.957	0.984	2	255
NC_016603.1_952	NC_016603.1	952	199	Dpd__QueD	4.3e-08	31.2	0.758	0.472	5	98
NC_016603.1_989	NC_016603.1	989	1154	PsyrTA__PsyrT	4e-07	26.2	0.467	0.272	609	922
NC_016603.1_991	NC_016603.1	991	489	Pycsar__AG_cyclase	3.8e-30	102.8	0.603	0.452	224	444
NC_016603.1_997	NC_016603.1	997	406	Dnd__DndA	9.8e-137	453.6	0.976	0.906	5	372
NC_016603.1_1048	NC_016603.1	1048	336	RM_Type_II__Type_II_MTases	9.2e-10	35.2	0.407	0.411	152	289
NC_016603.1_1196	NC_016603.1	1196	1314	PrrC__EcoprrI	1.4e-14	52.3	0.556	0.226	156	452
NC_016603.1_1196	NC_016603.1	1196	1314	RM_Type_II__Type_II_MTases	8.500000000000001e-26	88.5	0.658	0.173	140	366
NC_016603.1_1196	NC_016603.1	1196	1314	RM__Type_I_MTases	4.1e-51	171.7	0.846	0.332	22	457
NC_016603.1_1382	NC_016603.1	1382	759	Dodola__DolB	3.6e-21	73.4	0.491	0.254	423	615
NC_016603.1_1579	NC_016603.1	1579	571	recD_IV-D_1	3e-18	63.0	0.448	0.629	3	361
NC_016603.1_1629	NC_016603.1	1629	259	CBASS__AG_E1_ThiF	2.7e-66	221.1	0.984	0.9	20	252
NC_016603.1_1666	NC_016603.1	1666	195	WYL_I_II_III_IV_V_VI_1	3.8e-09	34.2	0.508	0.887	16	188
NC_016603.1_1666	NC_016603.1	1666	195	WYL_I_II_III_IV_V_VI_4	5.5e-26	89.4	0.948	0.887	16	188
NC_016603.1_1741	NC_016603.1	1741	514	ShosTA__ShosT	8.4e-05	20.1	0.54	0.22	283	395
NC_016603.1_1750	NC_016603.1	1750	384	Shango__SngC	3.3e-15	53.4	0.525	0.948	10	373
NC_016603.1_1798	NC_016603.1	1798	229	DEDDh_I_II_III_IV_V_VI_1	5.9e-19	66.5	1.0	0.694	4	162
NC_016603.1_1850	NC_016603.1	1850	185	Dpd__FolE	7.2e-88	290.6	0.994	0.973	1	180
NC_016603.1_2003	NC_016603.1	2003	223	CBASS__QueC	2.9e-20	70.8	0.941	0.915	3	206
NC_016603.1_2003	NC_016603.1	2003	223	Dpd__QueC	4.3e-48	161.2	0.991	0.987	1	220
NC_016603.1_2024	NC_016603.1	2024	187	Zorya__ZorB	6.1e-07	26.7	0.457	0.556	75	178
NC_016603.1_2116	NC_016603.1	2116	643	Gao_Iet__IetA	2.5e-29	100.1	0.561	0.35	175	399
NC_016603.1_2186	NC_016603.1	2186	480	Paris_I__AAA_15	9.7e-16	56.0	0.976	0.773	5	375
NC_016603.1_2186	NC_016603.1	2186	480	Paris_II__AAA_21	2.3e-16	58.2	0.99	0.738	22	375
NC_016603.1_2186	NC_016603.1	2186	480	Paris_II__AriA_AAA21	1.2e-25	88.4	0.854	0.821	10	403
NC_016603.1_2186	NC_016603.1	2186	480	Retron_I_A__ATPase_TypeIA	1.8e-34	117.3	0.837	0.95	5	460
NC_016603.1_2186	NC_016603.1	2186	480	Septu__PtuA	3.9e-47	159.7	0.929	0.956	5	463
NC_016603.1_2187	NC_016603.1	2187	224	Septu__PtuB	2.2e-19	68.3	0.897	0.942	1	211
NC_016603.1_2290	NC_016603.1	2290	348	Zorya__ZorB	8.7e-08	29.5	0.438	0.287	223	322
NC_016603.1_2342	NC_016603.1	2342	488	DISARM__drmC	5.8e-14	49.9	0.626	0.361	258	433
NC_016603.1_2423	NC_016603.1	2423	361	Paris_II__AriA_AAA21	2.1e-14	51.3	0.798	0.909	1	328
NC_016603.1_2440	NC_016603.1	2440	542	DISARM__drmC	2e-12	44.9	0.415	0.244	356	487
NC_016603.1_2546	NC_016603.1	2546	210	ShosTA__ShosT	1.2e-09	35.9	0.624	0.676	64	205
NC_016603.1_2556	NC_016603.1	2556	621	Shango__SngC	4e-23	79.6	0.51	0.572	10	364
NC_016603.1_2605	NC_016603.1	2605	475	AbiH__AbiH	5.0000000000000005e-25	86.6	0.951	0.853	3	407
NC_016603.1_2708	NC_016603.1	2708	319	RM_Type_II__Type_II_REases	3.2e-100	333.1	1.13	0.984	1	314
NC_016603.1_2987	NC_016603.1	2987	546	Paris_I__AriB_DUF4435_I	2.5e-14	51.5	0.67	0.364	285	483
NC_016603.1_2987	NC_016603.1	2987	546	Paris__DUF4435	1.3e-18	65.6	0.852	0.355	300	493
NC_016603.1_2987	NC_016603.1	2987	546	Paris_II__AriA_AAA21	7.8e-19	65.9	0.448	0.308	103	270
NC_016603.1_2987	NC_016603.1	2987	546	Paris_II_merge__AAA_21_DUF4435	2.3e-199	661.3	0.947	0.962	16	540
NC_016603.1_3074	NC_016603.1	3074	385	PsyrTA__PsyrA	1.7e-30	103.9	0.616	0.636	83	327
NC_016603.1_3074	NC_016603.1	3074	385	ShosTA__ShosA	1.4e-64	215.8	0.891	0.732	21	302
NC_016603.1_3123	NC_016603.1	3123	431	RM_Type_II__Type_II_MTases	3.6e-84	280.6	0.989	0.875	17	393
NC_016603.1_3189	NC_016603.1	3189	640	RM_Type_II__Type_II_REases	2.5e-09	34.9	0.618	0.317	1	203
NC_016603.1_3214	NC_016603.1	3214	556	Retron_I_A__ATPase_TypeIA	4.5e-09	33.6	0.438	0.415	2	232
NC_016603.1_3238	NC_016603.1	3238	501	Gabija__GajB_3	1.6e-06	25.2	0.562	0.527	214	477
NC_016603.1_3250	NC_016603.1	3250	1233	Gabija__GajB_2	9.5e-57	190.5	0.726	0.694	8	863
NC_016603.1_3297	NC_016603.1	3297	232	WYL_I_II_III_IV_V_VI_4	2.1e-14	51.7	0.523	0.392	136	226
NC_016603.1_3297	NC_016603.1	3297	232	WYL_I_II_III_IV_V_VI_1	5.0000000000000005e-58	194.7	0.728	0.966	1	224
NC_016603.1_3336	NC_016603.1	3336	688	Gabija__GajB_3	1.1e-17	62.0	0.677	0.416	51	336
NC_016603.1_3336	NC_016603.1	3336	688	Gabija__GajB_1	4.7e-38	128.9	0.925	0.85	42	626
NC_016603.1_3336	NC_016603.1	3336	688	Gabija__GajB_2	4.7e-85	284.0	0.767	0.891	37	649
NC_016603.1_3422	NC_016603.1	3422	153	PD-T4-9__PD-T4-9_C	3.3e-06	25.0	0.947	0.843	11	139
NC_016603.1_3426	NC_016603.1	3426	189	DEDDh_I_II_III_IV_V_VI_1	1.1e-10	39.6	0.812	0.751	10	151
NC_016603.1_3445	NC_016603.1	3445	271	Gao_Qat__QatD	2.1e-11	41.3	0.587	0.568	65	218
NC_016603.1_3447	NC_016603.1	3447	254	CBASS__AG_E1_ThiF	2e-37	126.5	0.82	0.898	21	248
