replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NZ_AP024524.1	NZ_AP024524.1_981	AbiJ__AbiJ	981	defense-finder-models/DefenseFinder_1/AbiJ/AbiJ	NZ_AP024524.1_AbiJ_1	1	1	1.0	1.0	1	AbiJ__AbiJ	mandatory	255	4.2e-17	59.9	0.474	0.561	104	246			AbiJ	AbiJ	Defense
NZ_AP024524.1	NZ_AP024524.1_1166	DarTG__DarT	1166	defense-finder-models/DefenseFinder_2/DarTG/DarTG	NZ_AP024524.1_DarTG_2	1	1	1.0	2.0	1	DarTG__DarT	mandatory	468	1.2e-31	107.5	0.985	0.453	4	215			DarTG	DarTG	Defense
NZ_AP024524.1	NZ_AP024524.1_1167	DarTG__DarG	1167	defense-finder-models/DefenseFinder_2/DarTG/DarTG	NZ_AP024524.1_DarTG_2	1	1	1.0	2.0	1	DarTG__DarG	mandatory	368	2.7e-19	67.3	0.607	0.383	1	141			DarTG	DarTG	Defense
NZ_AP024524.1	NZ_AP024524.1_1179	RM_Type_IV__Type_IV_REases	1179	defense-finder-models/RM/RM/RM_Type_IV	NZ_AP024524.1_RM_Type_IV_6	1	1	1.0	1.0	2	RM_Type_IV__Type_IV_REases	mandatory	729	1.3999999999999999e-83	279.4	0.734	0.586	284	710			RM	RM_Type_IV	Defense
NZ_AP024524.1	NZ_AP024524.1_1180	RM_Type_IV__Type_IV_REases	1180	defense-finder-models/RM/RM/RM_Type_IV	NZ_AP024524.1_RM_Type_IV_6	1	1	1.0	1.0	2	RM_Type_IV__Type_IV_REases	mandatory	426	2.6e-97	323.4	0.789	0.977	5	420			RM	RM_Type_IV	Defense
NZ_AP024524.1	NZ_AP024524.1_1357	RM_Type_II__Type_II_MTases	1357	defense-finder-models/RM/RM/RM_Type_II	NZ_AP024524.1_RM_Type_II_4	1	1	1.0	2.0	2	RM_Type_II__Type_II_MTases	mandatory	438	1.6e-54	183.0	0.973	0.904	41	436			RM	RM_Type_II	Defense
NZ_AP024524.1	NZ_AP024524.1_1358	RM_Type_II__Type_II_REases	1358	defense-finder-models/RM/RM/RM_Type_II	NZ_AP024524.1_RM_Type_II_4	1	1	1.0	2.0	2	RM_Type_II__Type_II_REases	mandatory	705	3.7e-46	156.1	1.527	0.729	7	520			RM	RM_Type_II	Defense
NZ_AP024524.1	NZ_AP024524.1_1364	RM_Type_II__Type_II_MTases	1364	defense-finder-models/RM/RM/RM_Type_II	NZ_AP024524.1_RM_Type_II_4	1	1	1.0	2.0	2	RM_Type_II__Type_II_MTases	mandatory	262	6.1e-20	69.1	0.552	0.775	2	204			RM	RM_Type_II	Defense
NZ_AP024524.1	NZ_AP024524.1_2581	RM_Type_III__Type_III_REases	2581	defense-finder-models/RM/RM/RM_Type_III	NZ_AP024524.1_RM_Type_III_5	1	1	1.0	2.0	1	RM_Type_III__Type_III_REases	mandatory	996	9.2e-287	951.5	0.997	0.977	15	987			RM	RM_Type_III	Defense
NZ_AP024524.1	NZ_AP024524.1_2582	RM_Type_III__Type_III_MTases	2582	defense-finder-models/RM/RM/RM_Type_III	NZ_AP024524.1_RM_Type_III_5	1	1	1.0	2.0	1	RM_Type_III__Type_III_MTases	mandatory	654	3.1e-168	559.1	0.976	0.983	2	644			RM	RM_Type_III	Defense
NZ_AP024524.1	NZ_AP024524.1_2602	JukAB__JukA	2602	defense-finder-models/DefenseFinder_4/JukAB/JukAB	NZ_AP024524.1_JukAB_3	1	1	1.0	2.0	1	JukAB__JukA	mandatory	240	6.9e-40	134.7	0.919	0.971	3	235			JukAB	JukAB	Defense
NZ_AP024524.1	NZ_AP024524.1_2603	JukAB__JukB	2603	defense-finder-models/DefenseFinder_4/JukAB/JukAB	NZ_AP024524.1_JukAB_3	1	1	1.0	2.0	1	JukAB__JukB	mandatory	301	9.7e-59	196.7	0.921	0.93	2	281			JukAB	JukAB	Defense
