sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP030880.1_CBASS_I_3	CBASS	CBASS_I	Defense	NZ_CP030880.1_845	NZ_CP030880.1_846	NZ_CP030880.1_845,NZ_CP030880.1_846	2	CBASS__2TM_Gros,CBASS__Cyclase_SMODS
NZ_CP030880.1_RM_Type_I_9	RM	RM_Type_I	Defense	NZ_CP030880.1_1064	NZ_CP030880.1_1067	NZ_CP030880.1_1064,NZ_CP030880.1_1065,NZ_CP030880.1_1067	3	RM__Type_I_MTases_FAM_3,RM__Type_I_REases_FAM_1.einsi_trimmed,RM__Type_I_S_52
NZ_CP030880.1_AbiD_1	AbiD	AbiD	Defense	NZ_CP030880.1_1066	NZ_CP030880.1_1066	NZ_CP030880.1_1066	1	AbiD__AbiD
NZ_CP030880.1_RM_Type_III_12	RM	RM_Type_III	Defense	NZ_CP030880.1_1072	NZ_CP030880.1_1073	NZ_CP030880.1_1072,NZ_CP030880.1_1073	2	RM_Type_III__Type_III_MTases_FAM_1,RM_Type_III__Type_III_REases_FAM_1.einsi_trimmed
NZ_CP030880.1_RM_Type_II_11	RM	RM_Type_II	Defense	NZ_CP030880.1_1204	NZ_CP030880.1_1206	NZ_CP030880.1_1204,NZ_CP030880.1_1205,NZ_CP030880.1_1206	3	RM_Type_II__Type_II_MTases_FAM_2,RM_Type_II__Type_II_REase14,RM_Type_II__Type_II_REase34
NZ_CP030880.1_gcu24_6	gcu24	gcu24	Defense	NZ_CP030880.1_1239	NZ_CP030880.1_1239	NZ_CP030880.1_1239	1	gcu24__gcu24
NZ_CP030880.1_RM_Type_I_10	RM	RM_Type_I	Defense	NZ_CP030880.1_2038	NZ_CP030880.1_2044	NZ_CP030880.1_2038,NZ_CP030880.1_2043,NZ_CP030880.1_2044	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_51
NZ_CP030880.1_CAS_Class1-Subtype-I-F_13	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP030880.1_2161	NZ_CP030880.1_2166	NZ_CP030880.1_2161,NZ_CP030880.1_2162,NZ_CP030880.1_2163,NZ_CP030880.1_2164,NZ_CP030880.1_2165,NZ_CP030880.1_2166	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_4,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_4
NZ_CP030880.1_Lamassu-Cap4_nuclease_5	Lamassu-Fam	Lamassu-Cap4_nuclease	Defense	NZ_CP030880.1_2459	NZ_CP030880.1_2461	NZ_CP030880.1_2459,NZ_CP030880.1_2460,NZ_CP030880.1_2461	3	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II,Lamassu-Fam__LmuC_acc_Cap4_nuclease
NZ_CP030880.1_DRT_2_4	DRT	DRT_2	Defense	NZ_CP030880.1_2466	NZ_CP030880.1_2466	NZ_CP030880.1_2466	1	DRT2__DRT2
