replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NZ_CP019041.1	NZ_CP019041.1_126	RM__Type_I_REases	126	defense-finder-models/RM/RM/RM_Type_I	NZ_CP019041.1_RM_Type_I_9	1	1	1.0	2.5	1	RM__Type_I_REases	mandatory	959	1.2e-197	657.0	0.717	0.757	1	726			RM	RM_Type_I	Defense
NZ_CP019041.1	NZ_CP019041.1_128	RM__Type_I_S	128	defense-finder-models/RM/RM/RM_Type_I	NZ_CP019041.1_RM_Type_I_9	1	1	1.0	2.5	1	RM__Type_I_S	accessory	427	4.1e-48	162.1	0.536	0.965	14	425			RM	RM_Type_I	Defense
NZ_CP019041.1	NZ_CP019041.1_129	RM__Type_I_MTases	129	defense-finder-models/RM/RM/RM_Type_I	NZ_CP019041.1_RM_Type_I_9	1	1	1.0	2.5	1	RM__Type_I_MTases	mandatory	523	8.3e-172	570.1	0.996	0.983	1	514			RM	RM_Type_I	Defense
NZ_CP019041.1	NZ_CP019041.1_159	Old_exonuclease__Old_exonuclease	159	defense-finder-models/DefenseFinder_2/Old_exonuclease/Old_exonuclease	NZ_CP019041.1_Old_exonuclease_4	1	1	1.0	1.0	1	Old_exonuclease__Old_exonuclease	mandatory	588	9.999999999999999e-111	368.3	0.993	0.985	3	581			Old_exonuclease	Old_exonuclease	Defense
NZ_CP019041.1	NZ_CP019041.1_586	NLR_like_bNACHT01__NLR_like_bNACHT01	586	defense-finder-models/DefenseFinder_2/NLR/NLR_like_bNACHT01	NZ_CP019041.1_NLR_like_bNACHT01_3	1	1	1.0	1.0	1	NLR_like_bNACHT01__NLR_like_bNACHT01	mandatory	614	6.7e-108	359.4	0.962	0.912	8	567			NLR	NLR_like_bNACHT01	Defense
NZ_CP019041.1	NZ_CP019041.1_707	RM_Type_IIG__Type_IIG	707	defense-finder-models/RM/RM/RM_Type_IIG	NZ_CP019041.1_RM_Type_IIG_12	1	1	1.0	1.0	1	RM_Type_IIG__Type_IIG	mandatory	1056	5e-288	956.4	1.208	0.98	17	1051			RM	RM_Type_IIG	Defense
NZ_CP019041.1	NZ_CP019041.1_778	Shedu__SduA	778	defense-finder-models/DefenseFinder_1/Shedu/Shedu	NZ_CP019041.1_Shedu_2	1	1	1.0	1.0	1	Shedu__SduA	mandatory	385	1.5e-64	216.4	0.828	0.966	11	382			Shedu	Shedu	Defense
NZ_CP019041.1	NZ_CP019041.1_862	RM__Type_I_MTases	862	defense-finder-models/RM/RM/RM_Type_I	NZ_CP019041.1_RM_Type_I_10	1	1	1.0	2.5	1	RM__Type_I_MTases	mandatory	577	1.3e-165	549.7	0.99	0.986	7	575			RM	RM_Type_I	Defense
NZ_CP019041.1	NZ_CP019041.1_864	RM__Type_I_S	864	defense-finder-models/RM/RM/RM_Type_I	NZ_CP019041.1_RM_Type_I_10	1	1	1.0	2.5	1	RM__Type_I_S	accessory	445	6.3e-57	191.1	0.446	0.951	15	437			RM	RM_Type_I	Defense
NZ_CP019041.1	NZ_CP019041.1_867	RM__Type_I_REases	867	defense-finder-models/RM/RM/RM_Type_I	NZ_CP019041.1_RM_Type_I_10	1	1	1.0	2.5	1	RM__Type_I_REases	mandatory	1035	6.1e-258	856.5	0.994	0.98	2	1015			RM	RM_Type_I	Defense
