Genome_ID	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
NZ_CP018254.1	NZ_CP018254.1_Gabija_3	Gabija	Gabija	Defense	NZ_CP018254.1_81	NZ_CP018254.1_82	NZ_CP018254.1_81,NZ_CP018254.1_82	2	Gabija__GajA,Gabija__GajB_2
NZ_CP018254.1	NZ_CP018254.1_RM_Type_I_8	RM	RM_Type_I	Defense	NZ_CP018254.1_83	NZ_CP018254.1_85	NZ_CP018254.1_83,NZ_CP018254.1_84,NZ_CP018254.1_85	3	RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_03
NZ_CP018254.1	NZ_CP018254.1_Retron_I_A_6	Retron	Retron_I_A	Defense	NZ_CP018254.1_162	NZ_CP018254.1_164	NZ_CP018254.1_162,NZ_CP018254.1_163,NZ_CP018254.1_164	3	Retron_I_A__ATPase_TypeIA,Retron__RT_Tot_1,Septu__PtuB
NZ_CP018254.1	NZ_CP018254.1_AbiH_1	AbiH	AbiH	Defense	NZ_CP018254.1_386	NZ_CP018254.1_386	NZ_CP018254.1_386	1	AbiH__AbiH
NZ_CP018254.1	NZ_CP018254.1_DS-1_2	DS-1	DS-1	Defense	NZ_CP018254.1_576	NZ_CP018254.1_577	NZ_CP018254.1_576,NZ_CP018254.1_577	2	DS-1__DS-1A,DS-1__DS-1B
NZ_CP018254.1	NZ_CP018254.1_Retron_III_5	Retron	Retron_III	Defense	NZ_CP018254.1_2589	NZ_CP018254.1_2591	NZ_CP018254.1_2589,NZ_CP018254.1_2591	2	Retron_III__PRTase_WH,Retron__RT_Tot_7
NZ_CP018254.1	NZ_CP018254.1_CAS_Class1-Subtype-I-F_9	Cas	CAS_Class1-Subtype-I-F	Defense	NZ_CP018254.1_3169	NZ_CP018254.1_3175	NZ_CP018254.1_3169,NZ_CP018254.1_3171,NZ_CP018254.1_3172,NZ_CP018254.1_3173,NZ_CP018254.1_3174,NZ_CP018254.1_3175	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_2,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_1,cas8f_I-F_6
NZ_CP018254.1	NZ_CP018254.1_PARIS_I_4	Paris	PARIS_I	Defense	NZ_CP018254.1_3420	NZ_CP018254.1_3421	NZ_CP018254.1_3420,NZ_CP018254.1_3421	2	Paris_I__AriA_AAA15,Paris_I__AriB_DUF4435_I
NZ_CP019041.1	NZ_CP019041.1_RM_Type_I_12	RM	RM_Type_I	Defense	NZ_CP019041.1_126	NZ_CP019041.1_129	NZ_CP019041.1_126,NZ_CP019041.1_128,NZ_CP019041.1_129	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_52
NZ_CP019041.1	NZ_CP019041.1_Old_exonuclease_3	Old_exonuclease	Old_exonuclease	Defense	NZ_CP019041.1_159	NZ_CP019041.1_159	NZ_CP019041.1_159	1	Old_exonuclease__Old_exonuclease
NZ_CP019041.1	NZ_CP019041.1_NLR_like_bNACHT01_2	NLR	NLR_like_bNACHT01	Defense	NZ_CP019041.1_586	NZ_CP019041.1_586	NZ_CP019041.1_586	1	NLR_like_bNACHT01__NLR_like_bNACHT01
NZ_CP019041.1	NZ_CP019041.1_RM_Type_IIG_15	RM	RM_Type_IIG	Defense	NZ_CP019041.1_707	NZ_CP019041.1_707	NZ_CP019041.1_707	1	RM_Type_IIG__Type_IIG_FAM_2.einsi_trimmed
