Genome_ID,defense_count,arg_count,anti_defense_count,ime_count
NZ_CP018254.1,7,0,2,25
NZ_CP019041.1,9,0,1,12
NZ_CP022283.1,5,0,3,2
NZ_CP030880.1,7,0,0,1
NZ_CP031716.1,9,0,1,11
NZ_CP038022.1,9,0,0,0
NZ_CP041035.1,9,0,3,47
NZ_CP049801.1,7,0,0,0
NZ_CP050385.1,6,0,2,3
NZ_CP068253.1,7,0,1,12
NZ_CP078018.1,12,0,0,11
NZ_CP088954.1,3,0,1,0
NZ_CP090607.1,8,0,1,47
NZ_CP091172.1,8,0,1,47
NZ_CP091367.1,7,0,3,47
NZ_CP091596.1,6,0,1,26
NZ_CP098732.1,8,0,0,0
NZ_CP098791.1,5,0,1,2
NZ_CP139286.1,5,0,1,0
NZ_CP018254,0,10,0,0
NZ_CP019041,0,1,0,0
NZ_CP022283,0,3,0,0
NZ_CP030880,0,3,0,0
NZ_CP031716,0,1,0,0
NZ_CP038022,0,1,0,0
NZ_CP041035,0,6,0,0
NZ_CP050385,0,3,0,0
NZ_CP088954,0,6,0,0
NZ_CP090607,0,11,0,0
NZ_CP091172,0,11,0,0
NZ_CP091367,0,9,0,0
NZ_CP091596,0,4,0,0
NZ_CP098791,0,2,0,0
NZ_CP139286,0,2,0,0
