hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP014477.1_69	NZ_CP014477.1	69	477	Gabija__GajB_1	4.0000000000000005e-71	238.0	0.8	0.987	2	472
NZ_CP014477.1_73	NZ_CP014477.1	73	700	Septu__PtuA	3.7e-24	84.0	0.802	0.621	1	435
NZ_CP014477.1_73	NZ_CP014477.1	73	700	Paris_I__AAA_15	3.6999999999999995e-47	159.5	1.0	0.571	1	400
NZ_CP014477.1_73	NZ_CP014477.1	73	700	Retron_I_B__ATPase_TOPRIM_COG3593	8.399999999999999e-75	250.8	0.958	0.984	1	689
NZ_CP014477.1_73	NZ_CP014477.1	73	700	Gabija__GajA	2.1e-95	318.5	0.989	0.977	1	684
NZ_CP014477.1_117	NZ_CP014477.1	117	643	Gao_Iet__IetA	2.5999999999999997e-29	100.1	0.561	0.35	175	399
NZ_CP014477.1_188	NZ_CP014477.1	188	561	Retron_I_A__ATPase_TypeIA	7e-12	42.9	0.76	0.774	1	434
NZ_CP014477.1_188	NZ_CP014477.1	188	561	Paris_II__AAA_21	2.4e-15	54.9	0.993	0.668	24	398
NZ_CP014477.1_188	NZ_CP014477.1	188	561	Paris_II__AriA_AAA21	5.3e-17	60.0	0.831	0.724	1	406
NZ_CP014477.1_188	NZ_CP014477.1	188	561	Paris_I__AAA_15	5.7e-48	162.1	0.997	0.709	1	398
NZ_CP014477.1_188	NZ_CP014477.1	188	561	Gabija__GajA	1.3e-52	177.2	0.756	0.93	1	522
NZ_CP014477.1_188	NZ_CP014477.1	188	561	Retron_I_B__ATPase_TOPRIM_COG3593	5.5e-63	211.8	0.755	0.95	1	533
NZ_CP014477.1_231	NZ_CP014477.1	231	367	Gao_Iet__IetA	3.4e-63	211.7	0.791	0.823	60	361
NZ_CP014477.1_324	NZ_CP014477.1	324	342	Zorya__ZorB	8.6e-08	29.6	0.438	0.292	223	322
NZ_CP014477.1_373	NZ_CP014477.1	373	488	DISARM__drmC	1e-12	45.9	0.626	0.361	258	433
NZ_CP014477.1_424	NZ_CP014477.1	424	542	DISARM__drmC	2.1e-12	44.9	0.415	0.244	356	487
NZ_CP014477.1_532	NZ_CP014477.1	532	210	ShosTA__ShosT	1.1e-09	36.1	0.629	0.695	60	205
NZ_CP014477.1_541	NZ_CP014477.1	541	621	Shango__SngC	4.1999999999999996e-23	79.6	0.51	0.572	10	364
NZ_CP014477.1_704	NZ_CP014477.1	704	487	RM_Type_II__Type_II_MTases	2.3e-119	397.2	1.325	0.984	4	482
NZ_CP014477.1_867	NZ_CP014477.1	867	457	CBASS__AG_E1_ThiF	8.500000000000001e-26	88.6	0.541	0.291	172	304
NZ_CP014477.1_949	NZ_CP014477.1	949	361	Paris_II__AriA_AAA21	2.2e-14	51.3	0.798	0.909	1	328
NZ_CP014477.1_1145	NZ_CP014477.1	1145	385	PsyrTA__PsyrA	7.9e-31	105.1	0.628	0.649	78	327
NZ_CP014477.1_1145	NZ_CP014477.1	1145	385	ShosTA__ShosA	1.3e-64	216.0	0.891	0.732	21	302
NZ_CP014477.1_1194	NZ_CP014477.1	1194	364	TniQ_I-F_1	1.3e-18	66.0	0.957	0.365	17	149
NZ_CP014477.1_1196	NZ_CP014477.1	1196	213	CBASS__2TM_Gros	2.3000000000000002e-30	104.2	0.672	0.967	5	210
NZ_CP014477.1_1196	NZ_CP014477.1	1196	213	CBASS__Effector_2TM_S_2TMBeta	2.8e-62	207.3	0.994	0.873	24	209
NZ_CP014477.1_1197	NZ_CP014477.1	1197	325	CBASS__Cyclase_new	1.5e-99	331.1	0.872	0.988	4	324
NZ_CP014477.1_1213	NZ_CP014477.1	1213	463	CBASS__Endonuc_big	2.7e-16	57.2	0.42	0.432	255	454
NZ_CP014477.1_1213	NZ_CP014477.1	1213	463	CBASS__Sensing_SAVED	8.199999999999999e-22	75.7	0.968	0.384	283	460
NZ_CP014477.1_1214	NZ_CP014477.1	1214	154	CBASS__Jab	7.2e-34	114.8	0.611	0.825	3	129
NZ_CP014477.1_1215	NZ_CP014477.1	1215	571	CBASS__AG_E2_Prok-E2_B	7.1e-12	43.0	0.769	0.177	22	122
NZ_CP014477.1_1215	NZ_CP014477.1	1215	571	CBASS__AG_E1_ThiF	5.7e-24	82.6	0.574	0.254	295	439
NZ_CP014477.1_1216	NZ_CP014477.1	1216	338	CBASS__Cyclase_II	5.2e-38	128.7	0.964	0.917	1	310
NZ_CP014477.1_1216	NZ_CP014477.1	1216	338	CBASS__Cyclase_SMODS	2.4e-46	155.7	1.0	0.479	1	162
NZ_CP014477.1_1218	NZ_CP014477.1	1218	361	RosmerTA__RmrA_2753529055	3.1e-33	113.0	0.822	0.881	3	320
NZ_CP014477.1_1218	NZ_CP014477.1	1218	361	RosmerTA__RmrA_2585209417	4.5e-36	122.3	0.757	0.773	4	282
NZ_CP014477.1_1218	NZ_CP014477.1	1218	361	RosmerTA__RmrA_2603008502	5.9e-38	128.6	0.81	0.823	4	300
NZ_CP014477.1_1218	NZ_CP014477.1	1218	361	RosmerTA__RmrA_2641389401	5.1e-38	128.6	0.954	0.967	4	352
