replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NZ_CP038022.1	NZ_CP038022.1_609	Gabija__GajB_2	609	defense-finder-models/DefenseFinder/Gabija/Gabija	NZ_CP038022.1_Gabija_5	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	635	9.4e-92	305.7	0.768	0.989	4	631			Gabija	Gabija	Defense
NZ_CP038022.1	NZ_CP038022.1_610	Gabija__GajA	610	defense-finder-models/DefenseFinder/Gabija/Gabija	NZ_CP038022.1_Gabija_5	1	1	1.0	2.0	1	Gabija__GajA	mandatory	424	4e-47	158.6	0.707	0.965	9	417			Gabija	Gabija	Defense
NZ_CP038022.1	NZ_CP038022.1_640	CBASS__Cyclase_II	640	defense-finder-models/DefenseFinder/CBASS/CBASS_I	NZ_CP038022.1_CBASS_I_2	1	1	1.0	2.0	1	CBASS__Cyclase_SMODS	mandatory	336	1.9e-15	54.1	0.893	0.952	13	332		NZ_CP038022.1_CBASS_1	CBASS	CBASS_I	Defense
NZ_CP038022.1	NZ_CP038022.1_641	CBASS__Effector_4TM_S_4TM	641	defense-finder-models/DefenseFinder/CBASS/CBASS_I	NZ_CP038022.1_CBASS_I_2	1	1	1.0	2.0	1	CBASS__Effector_2TM_S_2TMBeta	mandatory	298	3.5e-48	161.8	0.962	0.95	3	285		NZ_CP038022.1_CBASS_1	CBASS	CBASS_I	Defense
NZ_CP038022.1	NZ_CP038022.1_1092	Paris_II__AriA_AAA21	1092	defense-finder-models/DefenseFinder/Paris/PARIS_II	NZ_CP038022.1_PARIS_II_9	1	1	1.0	2.0	1	Paris_II__AriA_AAA21	mandatory	327	1.6e-50	169.9	0.63	0.905	25	320			Paris	PARIS_II	Defense
NZ_CP038022.1	NZ_CP038022.1_1093	Paris_II__AriB_DUF4435_II	1093	defense-finder-models/DefenseFinder/Paris/PARIS_II	NZ_CP038022.1_PARIS_II_9	1	1	1.0	2.0	1	Paris_II__AriB_DUF4435_II	mandatory	343	8.7e-32	108.5	0.912	0.939	14	335			Paris	PARIS_II	Defense
NZ_CP038022.1	NZ_CP038022.1_1351	TgvAB__TgvA	1351	defense-finder-models/DefenseFinder/TgvAB/TgvAB	NZ_CP038022.1_TgvAB_11	1	1	1.0	2.0	1	TgvAB__TgvA	mandatory	478	1.5e-159	529.2	0.928	0.981	9	477			TgvAB	TgvAB	Defense
NZ_CP038022.1	NZ_CP038022.1_1352	TgvAB__TgvB	1352	defense-finder-models/DefenseFinder/TgvAB/TgvAB	NZ_CP038022.1_TgvAB_11	1	1	1.0	2.0	1	TgvAB__TgvB	mandatory	665	5.5e-227	752.9	0.927	0.985	2	656			TgvAB	TgvAB	Defense
NZ_CP038022.1	NZ_CP038022.1_1353	Eleos__LeoBC	1353	defense-finder-models/DefenseFinder/Eleos/Eleos	NZ_CP038022.1_Eleos_4	1	1	0.5	2.0	1	Eleos__LeoBC	mandatory	699	1.6e-112	374.7	0.923	0.878	16	629			Eleos	Eleos	Defense
NZ_CP038022.1	NZ_CP038022.1_1354	Eleos__LeoA	1354	defense-finder-models/DefenseFinder/Eleos/Eleos	NZ_CP038022.1_Eleos_4	1	1	0.5	2.0	1	Eleos__LeoA	mandatory	570	7.9e-128	425.1	0.9	0.928	39	567			Eleos	Eleos	Defense
NZ_CP038022.1	NZ_CP038022.1_1355	Mokosh_type_I__MkoA_A	1355	defense-finder-models/DefenseFinder/Mokosh/Mokosh_Type_I_A	NZ_CP038022.1_Mokosh_Type_I_A_8	1	1	1.0	2.0	1	Mokosh_type_I__MkoA_A	mandatory	1714	0.0	1903.7	0.998	0.998	1	1711		NZ_CP038022.1_Mokosh_Type_I_7	Mokosh	Mokosh_Type_I_A	Defense
NZ_CP038022.1	NZ_CP038022.1_1356	Mokosh_type_I__MkoB_A	1356	defense-finder-models/DefenseFinder/Mokosh/Mokosh_Type_I_A	NZ_CP038022.1_Mokosh_Type_I_A_8	1	1	1.0	2.0	1	Mokosh_type_I__MkoB_A	mandatory	475	6.5e-136	451.0	0.989	0.992	2	472		NZ_CP038022.1_Mokosh_Type_I_7	Mokosh	Mokosh_Type_I_A	Defense
NZ_CP038022.1	NZ_CP038022.1_1357	CoCoNut-I-A__I-A_CnuB	1357	defense-finder-models/DefenseFinder/CoCoNut/CoCoNut_I-A	NZ_CP038022.1_CoCoNut_I-A_3	1	1	1.0	2.0	1	CoCoNut-I-A__I-A_CnuB	mandatory	739	9.699999999999999e-264	874.9	0.961	0.996	3	738			CoCoNut	CoCoNut_I-A	Defense
NZ_CP038022.1	NZ_CP038022.1_1358	CoCoNut-I-A__I-A_CnuC	1358	defense-finder-models/DefenseFinder/CoCoNut/CoCoNut_I-A	NZ_CP038022.1_CoCoNut_I-A_3	1	1	1.0	2.0	1	CoCoNut-I-A__I-A_CnuC	mandatory	873	5.800000000000001e-253	838.9	0.956	0.997	1	870			CoCoNut	CoCoNut_I-A	Defense
NZ_CP038022.1	NZ_CP038022.1_1359	Gabija__GajA	1359	defense-finder-models/DefenseFinder/Gabija/Gabija	NZ_CP038022.1_Gabija_6	1	1	1.0	2.0	1	Gabija__GajA	mandatory	720	1.1e-108	361.9	0.98	0.887	1	639			Gabija	Gabija	Defense
NZ_CP038022.1	NZ_CP038022.1_1360	Gabija__GajB_2	1360	defense-finder-models/DefenseFinder/Gabija/Gabija	NZ_CP038022.1_Gabija_6	1	1	1.0	2.0	1	Gabija__GajB_1	mandatory	601	9.999999999999999e-87	289.1	0.732	0.938	8	571			Gabija	Gabija	Defense
NZ_CP038022.1	NZ_CP038022.1_1684	cas3f_I-F_1	1684	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	1	1	1.0	6.0	1	cas3f_I-F_1	mandatory	1079	0.0	1541.0	0.999	0.996	1	1075		NZ_CP038022.1_CAS_Class1-Type-I_13,NZ_CP038022.1_CAS_Cluster_14	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP038022.1	NZ_CP038022.1_1686	cas8f_I-F_6	1686	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	1	1	1.0	6.0	1	cas8f_I-F_8	mandatory	389	4.6e-262	866.1	0.968	0.997	1	388		NZ_CP038022.1_CAS_Class1-Type-I_13,NZ_CP038022.1_CAS_Cluster_14	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP038022.1	NZ_CP038022.1_1687	cas5f_I-F_2	1687	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	1	1	1.0	6.0	1	cas5f_I-F_4	mandatory	295	1.6e-95	317.1	1.0	0.966	4	288		NZ_CP038022.1_CAS_Class1-Type-I_13,NZ_CP038022.1_CAS_Cluster_14	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP038022.1	NZ_CP038022.1_1688	cas7f_I-F_1	1688	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	1	1	1.0	6.0	1	cas7f_I-F_3	mandatory	354	4.7999999999999997e-132	437.8	0.997	0.98	6	352		NZ_CP038022.1_CAS_Class1-Type-I_13,NZ_CP038022.1_CAS_Cluster_14	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP038022.1	NZ_CP038022.1_1689	cas6f_I_II_III_IV_V_VI_3	1689	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	1	1	1.0	6.0	1	cas6f_I_II_III_IV_V_VI_3	accessory	204	7.2e-33	111.6	0.984	0.936	6	196		NZ_CP038022.1_CAS_Class1-Type-I_13,NZ_CP038022.1_CAS_Cluster_14	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP038022.1	NZ_CP038022.1_1690	cas1_I-F_1	1690	CasFinder/CAS_Class1-Subtype-I-F	NZ_CP038022.1_CAS_Class1-Subtype-I-F_12	1	1	1.0	6.0	1	cas1_I-F_1	mandatory	318	1.2999999999999999e-135	449.0	0.993	0.947	13	313		NZ_CP038022.1_CAS_Class1-Type-I_13,NZ_CP038022.1_CAS_Cluster_14	Cas	CAS_Class1-Subtype-I-F	Defense
NZ_CP038022.1	NZ_CP038022.1_2577	PD-T7-5__PD-T7-5	2577	defense-finder-models/DefenseFinder/PD-T7-5/PD-T7-5	NZ_CP038022.1_PD-T7-5_10	1	1	1.0	1.0	1	PD-T7-5__PD-T7-5	mandatory	364	1.9999999999999998e-91	303.9	0.929	0.97	2	354			PD-T7-5	PD-T7-5	Defense
