hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP098732.1_3	NZ_CP098732.1	3	361	Paris_II__AriA_AAA21	3.5e-14	50.4	0.798	0.909	1	328
NZ_CP098732.1_82	NZ_CP098732.1	82	234	DISARM__drmC	2e-11	41.4	0.483	0.483	7	119
NZ_CP098732.1_101	NZ_CP098732.1	101	261	RM_Type_II__Type_II_REase22	3.5e-13	47.3	0.58	0.843	3	222
NZ_CP098732.1_102	NZ_CP098732.1	102	328	RM_Type_II__Type_II_MTases_FAM_8	4.1999999999999996e-23	79.4	0.903	0.829	17	288
NZ_CP098732.1_102	NZ_CP098732.1	102	328	RM_Type_II__Type_II_MTases_FAM_3	1.2e-27	94.6	0.881	0.845	17	293
NZ_CP098732.1_102	NZ_CP098732.1	102	328	RM_Type_II__Type_II_MTases_FAM_1	9.900000000000001e-42	140.8	0.883	0.863	11	293
NZ_CP098732.1_102	NZ_CP098732.1	102	328	RM_Type_II__Type_II_MTases_FAM_20	1.2999999999999999e-164	544.2	0.969	0.945	10	319
NZ_CP098732.1_281	NZ_CP098732.1	281	485	AbiH__AbiH	1.9e-26	91.1	0.996	0.889	3	433
NZ_CP098732.1_319	NZ_CP098732.1	319	213	ShosTA__ShosT	7.9e-09	33.1	0.62	0.676	64	207
NZ_CP098732.1_436	NZ_CP098732.1	436	153	PD-T4-9__PD-T4-9_C	1.6e-05	22.6	0.947	0.843	11	139
NZ_CP098732.1_440	NZ_CP098732.1	440	186	DEDDh_I_II_III_IV_V_VI_1	4.9e-11	40.6	0.812	0.785	10	155
NZ_CP098732.1_499	NZ_CP098732.1	499	272	Gao_Qat__QatD	2.2e-12	44.4	0.768	0.765	61	268
NZ_CP098732.1_502	NZ_CP098732.1	502	259	CBASS__AG_E1_ThiF	8.8e-38	127.6	0.82	0.88	23	250
NZ_CP098732.1_571	NZ_CP098732.1	571	921	UG9__DNA_pol	2.3000000000000003e-36	123.3	0.713	0.422	517	905
NZ_CP098732.1_607	NZ_CP098732.1	607	655	DRT_3__drt3b	1.5000000000000002e-209	695.4	0.942	0.994	4	654
NZ_CP098732.1_608	NZ_CP098732.1	608	449	RT_I_II_III_IV_V_VI_1	1.3e-14	51.3	0.455	0.294	137	268
NZ_CP098732.1_608	NZ_CP098732.1	608	449	DRT_3__drt3a	1.1e-124	414.5	0.935	0.933	30	448
NZ_CP098732.1_655	NZ_CP098732.1	655	216	Zorya__ZorB	5.4e-14	49.7	0.566	0.644	73	211
NZ_CP098732.1_656	NZ_CP098732.1	656	680	Gabija__GajB_1	4.5e-39	132.0	0.935	0.906	9	624
NZ_CP098732.1_656	NZ_CP098732.1	656	680	UG35__UvrD	6.3e-85	283.3	0.515	0.624	5	428
NZ_CP098732.1_656	NZ_CP098732.1	656	680	Gabija__GajB_2	6.5e-107	355.9	0.77	0.938	6	643
NZ_CP098732.1_667	NZ_CP098732.1	667	1199	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.1e-15	55.3	0.763	0.474	1	568
NZ_CP098732.1_667	NZ_CP098732.1	667	1199	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	5.3e-16	55.3	0.494	0.397	1	476
NZ_CP098732.1_743	NZ_CP098732.1	743	418	DS-17__DS-17	1.4e-129	429.7	0.994	0.809	1	338
NZ_CP098732.1_789	NZ_CP098732.1	789	630	Gao_Iet__IetA	2.5000000000000002e-30	103.2	0.558	0.356	165	388
