hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_AP021936.1_217	NZ_AP021936.1	217	852	PrrC__EcoprrI	5.1e-05	20.9	0.442	0.292	299	547
NZ_AP021936.1_217	NZ_AP021936.1	217	852	RM_Type_II__Type_II_MTases	6.8e-18	62.5	0.757	0.354	289	590
NZ_AP021936.1_218	NZ_AP021936.1	218	488	Retron_I_A__ATPase_TypeIA	4.5e-06	23.7	0.401	0.461	1	225
NZ_AP021936.1_218	NZ_AP021936.1	218	488	Paris_II__AAA_21	3.3e-12	44.6	0.589	0.328	184	343
NZ_AP021936.1_218	NZ_AP021936.1	218	488	Septu__PtuA	5.7000000000000005e-30	103.2	0.777	0.75	1	366
NZ_AP021936.1_218	NZ_AP021936.1	218	488	Gabija__GajA	1.6e-32	110.9	0.589	0.738	1	360
NZ_AP021936.1_218	NZ_AP021936.1	218	488	Paris_I__AAA_15	4.5e-33	113.2	1.0	0.701	1	342
NZ_AP021936.1_218	NZ_AP021936.1	218	488	Retron_I_B__ATPase_TOPRIM_COG3593	1.1e-39	134.9	0.6	0.754	1	368
NZ_AP021936.1_248	NZ_AP021936.1	248	319	RM_Type_II__Type_II_REases	3.4e-100	333.1	1.13	0.984	1	314
NZ_AP021936.1_399	NZ_AP021936.1	399	621	Shango__SngC	4.3e-23	79.6	0.51	0.572	10	364
NZ_AP021936.1_409	NZ_AP021936.1	409	210	ShosTA__ShosT	1e-09	36.2	0.633	0.7	60	206
NZ_AP021936.1_518	NZ_AP021936.1	518	542	DISARM__drmC	2.1e-12	44.9	0.415	0.244	356	487
NZ_AP021936.1_560	NZ_AP021936.1	560	488	DISARM__drmC	7.6e-13	46.4	0.615	0.355	261	433
NZ_AP021936.1_611	NZ_AP021936.1	611	353	Zorya__ZorB	9.5e-08	29.4	0.438	0.283	228	327
NZ_AP021936.1_696	NZ_AP021936.1	696	367	Gao_Iet__IetA	3.4e-63	211.7	0.791	0.823	60	361
NZ_AP021936.1_736	NZ_AP021936.1	736	222	Retron_I_A__HNH_TIGR02646	3.7e-09	34.4	0.739	0.851	22	210
NZ_AP021936.1_736	NZ_AP021936.1	736	222	Septu__PtuB	2.4999999999999998e-33	114.0	0.696	0.86	25	215
NZ_AP021936.1_737	NZ_AP021936.1	737	412	Paris_I__AAA_15	1.2e-14	52.6	0.558	0.626	52	309
NZ_AP021936.1_737	NZ_AP021936.1	737	412	Retron_I_B__ATPase_TOPRIM_COG3593	9.5e-18	62.5	0.552	0.745	24	330
NZ_AP021936.1_737	NZ_AP021936.1	737	412	Septu__PtuA_2	3e-24	83.2	0.469	0.733	27	328
NZ_AP021936.1_737	NZ_AP021936.1	737	412	Paris_II__AriA_AAA21	3.3e-24	83.7	0.831	0.76	22	334
NZ_AP021936.1_737	NZ_AP021936.1	737	412	Paris_II__AAA_21	1.6e-25	88.3	0.997	0.684	28	309
NZ_AP021936.1_737	NZ_AP021936.1	737	412	Septu__PtuA	4.8e-46	156.2	0.922	0.968	9	407
NZ_AP021936.1_807	NZ_AP021936.1	807	643	Gao_Iet__IetA	2.6999999999999997e-29	100.1	0.561	0.35	175	399
NZ_AP021936.1_890	NZ_AP021936.1	890	187	Zorya__ZorB	6.4e-07	26.7	0.457	0.556	75	178
NZ_AP021936.1_910	NZ_AP021936.1	910	223	CBASS__QueC	3.1e-20	70.8	0.941	0.915	3	206
NZ_AP021936.1_910	NZ_AP021936.1	910	223	Dpd__QueC	4.6e-48	161.2	0.991	0.987	1	220
NZ_AP021936.1_1075	NZ_AP021936.1	1075	185	Dpd__FolE	7.699999999999999e-88	290.6	0.994	0.973	1	180
NZ_AP021936.1_1127	NZ_AP021936.1	1127	229	DEDDh_I_II_III_IV_V_VI_1	5.2e-19	66.7	1.0	0.694	4	162
NZ_AP021936.1_1179	NZ_AP021936.1	1179	384	Shango__SngC	3.5e-15	53.4	0.525	0.948	10	373
NZ_AP021936.1_1188	NZ_AP021936.1	1188	514	ShosTA__ShosT	8.9e-05	20.1	0.54	0.22	283	395
NZ_AP021936.1_1259	NZ_AP021936.1	1259	336	WYL_I_II_III_IV_V_VI_1	1.4e-15	55.4	0.955	0.955	9	329
NZ_AP021936.1_1259	NZ_AP021936.1	1259	336	WYL_I_II_III_IV_V_VI_4	1.4000000000000002e-25	88.1	0.948	0.515	157	329
NZ_AP021936.1_1295	NZ_AP021936.1	1295	259	CBASS__AG_E1_ThiF	1.0000000000000001e-65	219.3	0.984	0.9	20	252
NZ_AP021936.1_1345	NZ_AP021936.1	1345	571	recD_IV-D_1	3.2e-18	63.0	0.448	0.629	3	361
NZ_AP021936.1_1441	NZ_AP021936.1	1441	518	Druantia_II__DruM	2e-12	44.7	0.53	0.616	193	511
NZ_AP021936.1_1441	NZ_AP021936.1	1441	518	RM_Type_II__Type_II_MTases	5e-28	96.2	0.954	0.931	23	504
NZ_AP021936.1_1607	NZ_AP021936.1	1607	759	Dodola__DolB	3.8e-21	73.4	0.491	0.254	423	615
NZ_AP021936.1_1787	NZ_AP021936.1	1787	507	Septu__PtuA_2	3.7e-129	429.4	0.956	0.984	1	499
NZ_AP021936.1_1788	NZ_AP021936.1	1788	298	Septu__PtuB	4e-15	54.4	0.626	0.51	112	263
NZ_AP021936.1_1788	NZ_AP021936.1	1788	298	Septu__PtuB_2	8.8e-52	174.3	0.971	0.98	1	292
NZ_AP021936.1_1802	NZ_AP021936.1	1802	625	Paris_I__AAA_15	1.1e-33	115.1	1.0	0.538	1	336
NZ_AP021936.1_1802	NZ_AP021936.1	1802	625	Septu__PtuA	5.5e-35	119.7	0.761	0.562	1	351
NZ_AP021936.1_1802	NZ_AP021936.1	1802	625	Retron_I_B__ATPase_TOPRIM_COG3593	1.8999999999999998e-90	302.5	0.948	0.976	1	610
NZ_AP021936.1_1802	NZ_AP021936.1	1802	625	Gabija__GajA	3.6e-103	344.2	0.992	0.981	1	613
NZ_AP021936.1_1803	NZ_AP021936.1	1803	618	Gabija__GajB_3	5.8e-12	43.3	0.739	0.481	36	332
NZ_AP021936.1_1803	NZ_AP021936.1	1803	618	Gabija__GajB_2	2.1e-44	149.8	0.754	0.951	12	599
NZ_AP021936.1_1904	NZ_AP021936.1	1904	335	RM_Type_II__Type_II_MTases	4.6e-10	36.3	0.41	0.415	151	289
NZ_AP021936.1_1955	NZ_AP021936.1	1955	406	Dnd__DndA	1.7e-136	452.8	0.976	0.906	5	372
NZ_AP021936.1_1961	NZ_AP021936.1	1961	489	Pycsar__AG_cyclase	3.9e-30	102.9	0.603	0.452	224	444
NZ_AP021936.1_1963	NZ_AP021936.1	1963	1154	PsyrTA__PsyrT	2.5e-07	27.0	0.467	0.272	609	922
NZ_AP021936.1_2000	NZ_AP021936.1	2000	199	Dpd__QueD	4.6e-08	31.2	0.758	0.472	5	98
NZ_AP021936.1_2006	NZ_AP021936.1	2006	258	Gao_Qat__QatD	1.7e-15	54.8	0.957	0.984	2	255
NZ_AP021936.1_2169	NZ_AP021936.1	2169	654	Dnd__DndA	1.8e-42	143.4	0.865	0.521	270	610
NZ_AP021936.1_2290	NZ_AP021936.1	2290	893	Dodola__DolB	8.4e-28	95.3	0.675	0.3	475	742
NZ_AP021936.1_2292	NZ_AP021936.1	2292	256	Zorya__ZorB	7.1e-09	33.1	0.475	0.426	145	253
NZ_AP021936.1_2328	NZ_AP021936.1	2328	620	Paris_II__AAA_21	7.1e-13	46.8	0.993	0.56	26	372
NZ_AP021936.1_2328	NZ_AP021936.1	2328	620	Gabija__GajA	1.1e-32	111.4	0.761	0.808	1	501
